

*************************************************************************************** 


AST: 

NodeSymbol			Lexeme			Line No			Node Token			ValueIfNumber			Parent			isleaf
ID 			 B 			 81 			 ID 			 ---- 			 var_id_num 			 Yes
index 			 ---- 			 81 			 SQBO 			 ---- 			 var_id_num 			 No
---- 			 NUM 			 81 			 NUM 			 15 			 index 			 Yes
var_id_num 			 ---- 			 81 			 ID 			 ---- 			 PLUS 			 No
ID 			 Q 			 81 			 ID 			 ---- 			 var_id_num 			 Yes
---- 			 BREAK 			 81 			 DEFAULT 			 ---- 			 default 			 Yes
module 			 ---- 			 87 			 DEF 			 ---- 			 otherModules 			 No
ID 			 for_loop_demo 			 87 			 ID 			 ---- 			 module 			 Yes
input_plist 			 ---- 			 87 			 DEF 			 ---- 			 module 			 No
ID 			 x 			 88 			 ID 			 ---- 			 input_plist 			 Yes
dataType 			 ---- 			 88 			 ID 			 ---- 			 input_plist 			 No
---- 			 INTEGER 			 88 			 INTEGER 			 ---- 			 dataType 			 Yes
ID 			 y 			 88 			 ID 			 ---- 			 input_plist 			 Yes
dataType 			 ---- 			 88 			 COMMA 			 ---- 			 input_plist 			 No
---- 			 REAL 			 88 			 REAL 			 ---- 			 dataType 			 Yes
ID 			 z 			 88 			 ID 			 ---- 			 input_plist 			 Yes
dataType 			 ---- 			 88 			 COMMA 			 ---- 			 input_plist 			 No
---- 			 BOOLEAN 			 88 			 BOOLEAN 			 ---- 			 dataType 			 Yes
ret 			 ---- 			 87 			 DEF 			 ---- 			 module 			 No
output_plist 			 ---- 			 89 			 RETURNS 			 ---- 			 ret 			 No
ID 			 u 			 89 			 ID 			 ---- 			 output_plist 			 Yes
---- 			 INTEGER 			 89 			 INTEGER 			 ---- 			 output_plist 			 Yes
moduleDef 			 ---- 			 87 			 DEF 			 ---- 			 module 			 No
statements 			 ---- 			 90 			 START 			 ---- 			 moduleDef 			 No
declareStmt 			 ---- 			 92 			 DECLARE 			 ---- 			 statements 			 No
idList 			 ---- 			 92 			 DECLARE 			 ---- 			 declareStmt 			 No
ID 			 k 			 92 			 ID 			 ---- 			 idList 			 Yes
dataType 			 ---- 			 92 			 DECLARE 			 ---- 			 declareStmt 			 No
---- 			 INTEGER 			 92 			 INTEGER 			 ---- 			 dataType 			 Yes
iterativeStmt 			 ---- 			 93 			 FOR 			 ---- 			 statements 			 No
---- 			 FOR 			 93 			 FOR 			 ---- 			 iterativeStmt 			 Yes
ID 			 k 			 93 			 ID 			 ---- 			 iterativeStmt 			 Yes
range 			 ---- 			 93 			 FOR 			 ---- 			 iterativeStmt 			 No
---- 			 NUM 			 93 			 NUM 			 12 			 range 			 Yes
---- 			 NUM 			 93 			 NUM 			 12 			 range 			 Yes
statements 			 ---- 			 93 			 FOR 			 ---- 			 iterativeStmt 			 No
assignmentStmt 			 ---- 			 95 			 ID 			 ---- 			 statements 			 No
ID 			 u 			 95 			 ID 			 ---- 			 assignmentStmt 			 Yes
lvalueIDStmt 			 ---- 			 95 			 ASSIGNOP 			 ---- 			 assignmentStmt 			 No
expression 			 ---- 			 95 			 ASSIGNOP 			 ---- 			 lvalueIDStmt 			 No
---- 			 PLUS 			 95 			 PLUS 			 ---- 			 expression 			 No
var_id_num 			 ---- 			 95 			 ID 			 ---- 			 PLUS 			 No
ID 			 x 			 95 			 ID 			 ---- 			 var_id_num 			 Yes
var_id_num 			 ---- 			 95 			 ID 			 ---- 			 PLUS 			 No
ID 			 k 			 95 			 ID 			 ---- 			 var_id_num 			 Yes
assignmentStmt 			 ---- 			 96 			 ID 			 ---- 			 statements 			 No
ID 			 k 			 96 			 ID 			 ---- 			 assignmentStmt 			 Yes
lvalueIDStmt 			 ---- 			 96 			 ASSIGNOP 			 ---- 			 assignmentStmt 			 No
expression 			 ---- 			 96 			 ASSIGNOP 			 ---- 			 lvalueIDStmt 			 No
---- 			 PLUS 			 96 			 PLUS 			 ---- 			 expression 			 No
var_id_num 			 ---- 			 96 			 ID 			 ---- 			 PLUS 			 No
ID 			 k 			 96 			 ID 			 ---- 			 var_id_num 			 Yes
var_id_num 			 ---- 			 96 			 NUM 			 2 			 PLUS 			 No
---- 			 NUM 			 96 			 NUM 			 2 			 var_id_num 			 Yes
module 			 ---- 			 100 			 DEF 			 ---- 			 otherModules 			 No
ID 			 var_demo_array 			 100 			 ID 			 ---- 			 module 			 Yes
input_plist 			 ---- 			 100 			 DEF 			 ---- 			 module 			 No
ID 			 x 			 101 			 ID 			 ---- 			 input_plist 			 Yes
dataType 			 ---- 			 101 			 ID 			 ---- 			 input_plist 			 No
---- 			 INTEGER 			 101 			 INTEGER 			 ---- 			 dataType 			 Yes
ID 			 m 			 101 			 ID 			 ---- 			 input_plist 			 Yes
dataType 			 ---- 			 101 			 COMMA 			 ---- 			 input_plist 			 No
---- 			 ARRAY 			 101 			 ARRAY 			 ---- 			 dataType 			 Yes
range_arrays 			 ---- 			 101 			 ARRAY 			 ---- 			 dataType 			 No
index 			 ---- 			 101 			 NUM 			 2 			 range_arrays 			 No
---- 			 NUM 			 101 			 NUM 			 2 			 index 			 Yes
index 			 ---- 			 101 			 NUM 			 2 			 range_arrays 			 No
---- 			 NUM 			 101 			 NUM 			 20 			 index 			 Yes
---- 			 INTEGER 			 101 			 INTEGER 			 ---- 			 dataType 			 Yes
ID 			 p 			 101 			 ID 			 ---- 			 input_plist 			 Yes
dataType 			 ---- 			 101 			 COMMA 			 ---- 			 input_plist 			 No
---- 			 REAL 			 101 			 REAL 			 ---- 			 dataType 			 Yes
ret 			 ---- 			 100 			 DEF 			 ---- 			 module 			 No
output_plist 			 ---- 			 102 			 RETURNS 			 ---- 			 ret 			 No
ID 			 n 			 102 			 ID 			 ---- 			 output_plist 			 Yes
---- 			 INTEGER 			 102 			 INTEGER 			 ---- 			 output_plist 			 Yes
ID 			 k 			 102 			 ID 			 ---- 			 output_plist 			 Yes
---- 			 BOOLEAN 			 102 			 BOOLEAN 			 ---- 			 output_plist 			 Yes
moduleDef 			 ---- 			 100 			 DEF 			 ---- 			 module 			 No
statements 			 ---- 			 103 			 START 			 ---- 			 moduleDef 			 No
declareStmt 			 ---- 			 104 			 DECLARE 			 ---- 			 statements 			 No
idList 			 ---- 			 104 			 DECLARE 			 ---- 			 declareStmt 			 No
ID 			 a 			 104 			 ID 			 ---- 			 idList 			 Yes
ID 			 b 			 104 			 ID 			 ---- 			 idList 			 Yes
ID 			 h 			 104 			 ID 			 ---- 			 idList 			 Yes
dataType 			 ---- 			 104 			 DECLARE 			 ---- 			 declareStmt 			 No
---- 			 INTEGER 			 104 			 INTEGER 			 ---- 			 dataType 			 Yes
ioStmt 			 ---- 			 105 			 GET_VALUE 			 ---- 			 statements 			 No
---- 			 GET_VALUE 			 105 			 GET_VALUE 			 ---- 			 ioStmt 			 Yes
ID 			 b 			 105 			 ID 			 ---- 			 ioStmt 			 Yes
declareStmt 			 ---- 			 106 			 DECLARE 			 ---- 			 statements 			 No
idList 			 ---- 			 106 			 DECLARE 			 ---- 			 declareStmt 			 No
ID 			 b4 			 106 			 ID 			 ---- 			 idList 			 Yes
dataType 			 ---- 			 106 			 DECLARE 			 ---- 			 declareStmt 			 No
---- 			 ARRAY 			 106 			 ARRAY 			 ---- 			 dataType 			 Yes
range_arrays 			 ---- 			 106 			 ARRAY 			 ---- 			 dataType 			 No
index 			 ---- 			 106 			 NUM 			 100 			 range_arrays 			 No
---- 			 NUM 			 106 			 NUM 			 100 			 index 			 Yes
index 			 ---- 			 106 			 NUM 			 100 			 range_arrays 			 No
---- 			 NUM 			 106 			 NUM 			 150 			 index 			 Yes
---- 			 BOOLEAN 			 106 			 BOOLEAN 			 ---- 			 dataType 			 Yes
declareStmt 			 ---- 			 107 			 DECLARE 			 ---- 			 statements 			 No
idList 			 ---- 			 107 			 DECLARE 			 ---- 			 declareStmt 			 No
ID 			 p 			 107 			 ID 			 ---- 			 idList 			 Yes
dataType 			 ---- 			 107 			 DECLARE 			 ---- 			 declareStmt 			 No
---- 			 ARRAY 			 107 			 ARRAY 			 ---- 			 dataType 			 Yes
range_arrays 			 ---- 			 107 			 ARRAY 			 ---- 			 dataType 			 No
index 			 ---- 			 107 			 NUM 			 2 			 range_arrays 			 No
---- 			 NUM 			 107 			 NUM 			 2 			 index 			 Yes
index 			 ---- 			 107 			 NUM 			 2 			 range_arrays 			 No
---- 			 NUM 			 107 			 NUM 			 20 			 index 			 Yes
---- 			 INTEGER 			 107 			 INTEGER 			 ---- 			 dataType 			 Yes
assignmentStmt 			 ---- 			 108 			 ID 			 ---- 			 statements 			 No
ID 			 a 			 108 			 ID 			 ---- 			 assignmentStmt 			 Yes
lvalueIDStmt 			 ---- 			 108 			 ASSIGNOP 			 ---- 			 assignmentStmt 			 No
expression 			 ---- 			 108 			 ASSIGNOP 			 ---- 			 lvalueIDStmt 			 No
---- 			 PLUS 			 108 			 PLUS 			 ---- 			 expression 			 No
var_id_num 			 ---- 			 108 			 ID 			 ---- 			 PLUS 			 No
ID 			 m 			 108 			 ID 			 ---- 			 var_id_num 			 Yes
index 			 ---- 			 108 			 SQBO 			 ---- 			 var_id_num 			 No
---- 			 NUM 			 108 			 NUM 			 5 			 index 			 Yes
var_id_num 			 ---- 			 108 			 NUM 			 3 			 PLUS 			 No
---- 			 NUM 			 108 			 NUM 			 3 			 var_id_num 			 Yes
moduleReuseStmt 			 ---- 			 109 			 USE 			 ---- 			 statements 			 No
ID 			 function2 			 109 			 ID 			 ---- 			 moduleReuseStmt 			 Yes
idList 			 ---- 			 109 			 USE 			 ---- 			 moduleReuseStmt 			 No
ID 			 a 			 109 			 ID 			 ---- 			 idList 			 Yes
ID 			 b 			 109 			 ID 			 ---- 			 idList 			 Yes
assignmentStmt 			 ---- 			 110 			 ID 			 ---- 			 statements 			 No
ID 			 p 			 110 			 ID 			 ---- 			 assignmentStmt 			 Yes
lvalueIDStmt 			 ---- 			 110 			 ASSIGNOP 			 ---- 			 assignmentStmt 			 No
expression 			 ---- 			 110 			 ASSIGNOP 			 ---- 			 lvalueIDStmt 			 No
var_id_num 			 ---- 			 110 			 ID 			 ---- 			 expression 			 No
ID 			 m 			 110 			 ID 			 ---- 			 var_id_num 			 Yes
assignmentStmt 			 ---- 			 111 			 ID 			 ---- 			 statements 			 No
ID 			 k 			 111 			 ID 			 ---- 			 assignmentStmt 			 Yes
lvalueIDStmt 			 ---- 			 111 			 ASSIGNOP 			 ---- 			 assignmentStmt 			 No
expression 			 ---- 			 111 			 ASSIGNOP 			 ---- 			 lvalueIDStmt 			 No
---- 			 TRUE 			 111 			 TRUE 			 ---- 			 expression 			 Yes
assignmentStmt 			 ---- 			 112 			 ID 			 ---- 			 statements 			 No
ID 			 p 			 112 			 ID 			 ---- 			 assignmentStmt 			 Yes
lvalueIDStmt 			 ---- 			 112 			 ASSIGNOP 			 ---- 			 assignmentStmt 			 No
expression 			 ---- 			 112 			 ASSIGNOP 			 ---- 			 lvalueIDStmt 			 No
---- 			 PLUS 			 112 			 PLUS 			 ---- 			 expression 			 No
var_id_num 			 ---- 			 112 			 ID 			 ---- 			 PLUS 			 No
ID 			 m 			 112 			 ID 			 ---- 			 var_id_num 			 Yes
var_id_num 			 ---- 			 112 			 ID 			 ---- 			 PLUS 			 No
ID 			 p 			 112 			 ID 			 ---- 			 var_id_num 			 Yes
declareStmt 			 ---- 			 113 			 DECLARE 			 ---- 			 statements 			 No
idList 			 ---- 			 113 			 DECLARE 			 ---- 			 declareStmt 			 No
ID 			 v1 			 113 			 ID 			 ---- 			 idList 			 Yes
ID 			 v2 			 113 			 ID 			 ---- 			 idList 			 Yes
dataType 			 ---- 			 113 			 DECLARE 			 ---- 			 declareStmt 			 No
---- 			 REAL 			 113 			 REAL 			 ---- 			 dataType 			 Yes
assignmentStmt 			 ---- 			 114 			 ID 			 ---- 			 statements 			 No
ID 			 p 			 114 			 ID 			 ---- 			 assignmentStmt 			 Yes
lvalueARRStmt 			 ---- 			 114 			 SQBO 			 ---- 			 assignmentStmt 			 No
index 			 ---- 			 114 			 SQBO 			 ---- 			 lvalueARRStmt 			 No
---- 			 NUM 			 114 			 NUM 			 10 			 index 			 Yes
expression 			 ---- 			 114 			 SQBO 			 ---- 			 lvalueARRStmt 			 No
---- 			 MINUS 			 114 			 MINUS 			 ---- 			 expression 			 No
---- 			 MUL 			 114 			 MUL 			 ---- 			 MINUS 			 No
var_id_num 			 ---- 			 114 			 ID 			 ---- 			 MUL 			 No
ID 			 a 			 114 			 ID 			 ---- 			 var_id_num 			 Yes
var_id_num 			 ---- 			 114 			 ID 			 ---- 			 MUL 			 No
ID 			 b 			 114 			 ID 			 ---- 			 var_id_num 			 Yes
---- 			 MUL 			 114 			 MUL 			 ---- 			 MINUS 			 No
var_id_num 			 ---- 			 114 			 NUM 			 20 			 MUL 			 No
---- 			 NUM 			 114 			 NUM 			 20 			 var_id_num 			 Yes
var_id_num 			 ---- 			 114 			 ID 			 ---- 			 MUL 			 No
ID 			 h 			 114 			 ID 			 ---- 			 var_id_num 			 Yes
declareStmt 			 ---- 			 115 			 DECLARE 			 ---- 			 statements 			 No
idList 			 ---- 			 115 			 DECLARE 			 ---- 			 declareStmt 			 No
ID 			 b7 			 115 			 ID 			 ---- 			 idList 			 Yes
dataType 			 ---- 			 115 			 DECLARE 			 ---- 			 declareStmt 			 No
---- 			 ARRAY 			 115 			 ARRAY 			 ---- 			 dataType 			 Yes
range_arrays 			 ---- 			 115 			 ARRAY 			 ---- 			 dataType 			 No
index 			 ---- 			 115 			 NUM 			 35 			 range_arrays 			 No
---- 			 NUM 			 115 			 NUM 			 35 			 index 			 Yes
index 			 ---- 			 115 			 NUM 			 35 			 range_arrays 			 No
---- 			 NUM 			 115 			 NUM 			 50 			 index 			 Yes
---- 			 REAL 			 115 			 REAL 			 ---- 			 dataType 			 Yes
iterativeStmt 			 ---- 			 116 			 WHILE 			 ---- 			 statements 			 No
---- 			 WHILE 			 116 			 WHILE 			 ---- 			 iterativeStmt 			 Yes
---- 			 AND 			 116 			 AND 			 ---- 			 iterativeStmt 			 No
var_id_num 			 ---- 			 116 			 ID 			 ---- 			 AND 			 No
ID 			 k 			 116 			 ID 			 ---- 			 var_id_num 			 Yes
---- 			 OR 			 116 			 OR 			 ---- 			 AND 			 No
---- 			 LE 			 116 			 LE 			 ---- 			 OR 			 No
var_id_num 			 ---- 			 116 			 ID 			 ---- 			 LE 			 No
ID 			 x 			 116 			 ID 			 ---- 			 var_id_num 			 Yes
var_id_num 			 ---- 			 116 			 ID 			 ---- 			 LE 			 No
ID 			 m 			 116 			 ID 			 ---- 			 var_id_num 			 Yes
index 			 ---- 			 116 			 SQBO 			 ---- 			 var_id_num 			 No
---- 			 NUM 			 116 			 NUM 			 11 			 index 			 Yes
---- 			 FALSE 			 116 			 FALSE 			 ---- 			 OR 			 Yes
statements 			 ---- 			 116 			 WHILE 			 ---- 			 iterativeStmt 			 No
declareStmt 			 ---- 			 118 			 DECLARE 			 ---- 			 statements 			 No
idList 			 ---- 			 118 			 DECLARE 			 ---- 			 declareStmt 			 No
ID 			 p 			 118 			 ID 			 ---- 			 idList 			 Yes
ID 			 u 			 118 			 ID 			 ---- 			 idList 			 Yes
dataType 			 ---- 			 118 			 DECLARE 			 ---- 			 declareStmt 			 No
---- 			 INTEGER 			 118 			 INTEGER 			 ---- 			 dataType 			 Yes
declareStmt 			 ---- 			 119 			 DECLARE 			 ---- 			 statements 			 No
idList 			 ---- 			 119 			 DECLARE 			 ---- 			 declareStmt 			 No
ID 			 b 			 119 			 ID 			 ---- 			 idList 			 Yes
dataType 			 ---- 			 119 			 DECLARE 			 ---- 			 declareStmt 			 No
---- 			 ARRAY 			 119 			 ARRAY 			 ---- 			 dataType 			 Yes
range_arrays 			 ---- 			 119 			 ARRAY 			 ---- 			 dataType 			 No
index 			 ---- 			 119 			 NUM 			 2 			 range_arrays 			 No
---- 			 NUM 			 119 			 NUM 			 2 			 index 			 Yes
index 			 ---- 			 119 			 NUM 			 2 			 range_arrays 			 No
---- 			 NUM 			 119 			 NUM 			 20 			 index 			 Yes
---- 			 INTEGER 			 119 			 INTEGER 			 ---- 			 dataType 			 Yes
declareStmt 			 ---- 			 120 			 DECLARE 			 ---- 			 statements 			 No
idList 			 ---- 			 120 			 DECLARE 			 ---- 			 declareStmt 			 No
ID 			 b5 			 120 			 ID 			 ---- 			 idList 			 Yes
ID 			 b6 			 120 			 ID 			 ---- 			 idList 			 Yes
dataType 			 ---- 			 120 			 DECLARE 			 ---- 			 declareStmt 			 No
---- 			 ARRAY 			 120 			 ARRAY 			 ---- 			 dataType 			 Yes
range_arrays 			 ---- 			 120 			 ARRAY 			 ---- 			 dataType 			 No
index 			 ---- 			 120 			 NUM 			 35 			 range_arrays 			 No
---- 			 NUM 			 120 			 NUM 			 35 			 index 			 Yes
index 			 ---- 			 120 			 NUM 			 35 			 range_arrays 			 No
---- 			 NUM 			 120 			 NUM 			 50 			 index 			 Yes
---- 			 REAL 			 120 			 REAL 			 ---- 			 dataType 			 Yes
assignmentStmt 			 ---- 			 121 			 ID 			 ---- 			 statements 			 No
ID 			 b 			 121 			 ID 			 ---- 			 assignmentStmt 			 Yes
lvalueIDStmt 			 ---- 			 121 			 ASSIGNOP 			 ---- 			 assignmentStmt 			 No
expression 			 ---- 			 121 			 ASSIGNOP 			 ---- 			 lvalueIDStmt 			 No
var_id_num 			 ---- 			 121 			 ID 			 ---- 			 expression 			 No
ID 			 m 			 121 			 ID 			 ---- 			 var_id_num 			 Yes
moduleReuseStmt 			 ---- 			 122 			 SQBO 			 ---- 			 statements 			 No
optional 			 ---- 			 122 			 SQBO 			 ---- 			 moduleReuseStmt 			 No
idList 			 ---- 			 122 			 SQBO 			 ---- 			 optional 			 No
ID 			 v1 			 122 			 ID 			 ---- 			 idList 			 Yes
ID 			 u 			 122 			 ID 			 ---- 			 idList 			 Yes
ID 			 k 			 122 			 ID 			 ---- 			 idList 			 Yes
ID 			 p 			 122 			 ID 			 ---- 			 idList 			 Yes
ID 			 function1 			 122 			 ID 			 ---- 			 moduleReuseStmt 			 Yes
idList 			 ---- 			 122 			 SQBO 			 ---- 			 moduleReuseStmt 			 No
ID 			 b4 			 122 			 ID 			 ---- 			 idList 			 Yes
ID 			 v2 			 122 			 ID 			 ---- 			 idList 			 Yes
ID 			 p 			 122 			 ID 			 ---- 			 idList 			 Yes
ID 			 b5 			 122 			 ID 			 ---- 			 idList 			 Yes
ID 			 u 			 122 			 ID 			 ---- 			 idList 			 Yes
assignmentStmt 			 ---- 			 123 			 ID 			 ---- 			 statements 			 No
ID 			 b 			 123 			 ID 			 ---- 			 assignmentStmt 			 Yes
lvalueARRStmt 			 ---- 			 123 			 SQBO 			 ---- 			 assignmentStmt 			 No
index 			 ---- 			 123 			 SQBO 			 ---- 			 lvalueARRStmt 			 No
---- 			 NUM 			 123 			 NUM 			 2 			 index 			 Yes
expression 			 ---- 			 123 			 SQBO 			 ---- 			 lvalueARRStmt 			 No
---- 			 PLUS 			 123 			 PLUS 			 ---- 			 expression 			 No
var_id_num 			 ---- 			 123 			 ID 			 ---- 			 PLUS 			 No
ID 			 u 			 123 			 ID 			 ---- 			 var_id_num 			 Yes
var_id_num 			 ---- 			 123 			 ID 			 ---- 			 PLUS 			 No
ID 			 m 			 123 			 ID 			 ---- 			 var_id_num 			 Yes
index 			 ---- 			 123 			 SQBO 			 ---- 			 var_id_num 			 No
---- 			 NUM 			 123 			 NUM 			 25 			 index 			 Yes
assignmentStmt 			 ---- 			 124 			 ID 			 ---- 			 statements 			 No
ID 			 p 			 124 			 ID 			 ---- 			 assignmentStmt 			 Yes
lvalueIDStmt 			 ---- 			 124 			 ASSIGNOP 			 ---- 			 assignmentStmt 			 No
expression 			 ---- 			 124 			 ASSIGNOP 			 ---- 			 lvalueIDStmt 			 No
---- 			 MUL 			 124 			 MUL 			 ---- 			 expression 			 No
var_id_num 			 ---- 			 124 			 ID 			 ---- 			 MUL 			 No
ID 			 b 			 124 			 ID 			 ---- 			 var_id_num 			 Yes
index 			 ---- 			 124 			 SQBO 			 ---- 			 var_id_num 			 No
---- 			 NUM 			 124 			 NUM 			 18 			 index 			 Yes
var_id_num 			 ---- 			 124 			 RNUM 			 18.56E+2 			 MUL 			 No
---- 			 RNUM 			 124 			 RNUM 			 18.56E+2 			 var_id_num 			 Yes
declareStmt 			 ---- 			 125 			 DECLARE 			 ---- 			 statements 			 No
idList 			 ---- 			 125 			 DECLARE 			 ---- 			 declareStmt 			 No
ID 			 v3 			 125 			 ID 			 ---- 			 idList 			 Yes
dataType 			 ---- 			 125 			 DECLARE 			 ---- 			 declareStmt 			 No
---- 			 INTEGER 			 125 			 INTEGER 			 ---- 			 dataType 			 Yes
moduleReuseStmt 			 ---- 			 126 			 SQBO 			 ---- 			 statements 			 No
optional 			 ---- 			 126 			 SQBO 			 ---- 			 moduleReuseStmt 			 No
idList 			 ---- 			 126 			 SQBO 			 ---- 			 optional 			 No
ID 			 v1 			 126 			 ID 			 ---- 			 idList 			 Yes
ID 			 u 			 126 			 ID 			 ---- 			 idList 			 Yes
ID 			 k 			 126 			 ID 			 ---- 			 idList 			 Yes
ID 			 v3 			 126 			 ID 			 ---- 			 idList 			 Yes
ID 			 function1 			 126 			 ID 			 ---- 			 moduleReuseStmt 			 Yes
idList 			 ---- 			 126 			 SQBO 			 ---- 			 moduleReuseStmt 			 No
ID 			 b4 			 126 			 ID 			 ---- 			 idList 			 Yes
ID 			 v2 			 126 			 ID 			 ---- 			 idList 			 Yes
ID 			 p 			 126 			 ID 			 ---- 			 idList 			 Yes
ID 			 v3 			 126 			 ID 			 ---- 			 idList 			 Yes
ID 			 u 			 126 			 ID 			 ---- 			 idList 			 Yes
assignmentStmt 			 ---- 			 128 			 ID 			 ---- 			 statements 			 No
ID 			 a 			 128 			 ID 			 ---- 			 assignmentStmt 			 Yes
lvalueIDStmt 			 ---- 			 128 			 ASSIGNOP 			 ---- 			 assignmentStmt 			 No
expression 			 ---- 			 128 			 ASSIGNOP 			 ---- 			 lvalueIDStmt 			 No
---- 			 MINUS 			 128 			 MINUS 			 ---- 			 expression 			 No
var_id_num 			 ---- 			 128 			 ID 			 ---- 			 MINUS 			 No
ID 			 a 			 128 			 ID 			 ---- 			 var_id_num 			 Yes
---- 			 MUL 			 128 			 MUL 			 ---- 			 MINUS 			 No
var_id_num 			 ---- 			 128 			 ID 			 ---- 			 MUL 			 No
ID 			 p 			 128 			 ID 			 ---- 			 var_id_num 			 Yes
var_id_num 			 ---- 			 128 			 ID 			 ---- 			 MUL 			 No
ID 			 b 			 128 			 ID 			 ---- 			 var_id_num 			 Yes
assignmentStmt 			 ---- 			 129 			 ID 			 ---- 			 statements 			 No
ID 			 b 			 129 			 ID 			 ---- 			 assignmentStmt 			 Yes
lvalueIDStmt 			 ---- 			 129 			 ASSIGNOP 			 ---- 			 assignmentStmt 			 No
expression 			 ---- 			 129 			 ASSIGNOP 			 ---- 			 lvalueIDStmt 			 No
---- 			 PLUS 			 129 			 PLUS 			 ---- 			 expression 			 No
var_id_num 			 ---- 			 129 			 ID 			 ---- 			 PLUS 			 No
ID 			 b 			 129 			 ID 			 ---- 			 var_id_num 			 Yes
var_id_num 			 ---- 			 129 			 NUM 			 3 			 PLUS 			 No
---- 			 NUM 			 129 			 NUM 			 3 			 var_id_num 			 Yes
assignmentStmt 			 ---- 			 130 			 ID 			 ---- 			 statements 			 No
ID 			 k 			 130 			 ID 			 ---- 			 assignmentStmt 			 Yes
lvalueIDStmt 			 ---- 			 130 			 ASSIGNOP 			 ---- 			 assignmentStmt 			 No
expression 			 ---- 			 130 			 ASSIGNOP 			 ---- 			 lvalueIDStmt 			 No
---- 			 OR 			 130 			 OR 			 ---- 			 expression 			 No
---- 			 GT 			 130 			 GT 			 ---- 			 OR 			 No
var_id_num 			 ---- 			 130 			 ID 			 ---- 			 GT 			 No
ID 			 a 			 130 			 ID 			 ---- 			 var_id_num 			 Yes
var_id_num 			 ---- 			 130 			 ID 			 ---- 			 GT 			 No
ID 			 b 			 130 			 ID 			 ---- 			 var_id_num 			 Yes
---- 			 GT 			 130 			 GT 			 ---- 			 OR 			 No
var_id_num 			 ---- 			 130 			 ID 			 ---- 			 GT 			 No
ID 			 b 			 130 			 ID 			 ---- 			 var_id_num 			 Yes
var_id_num 			 ---- 			 130 			 NUM 			 100 			 GT 			 No
---- 			 NUM 			 130 			 NUM 			 100 			 var_id_num 			 Yes
moduleReuseStmt 			 ---- 			 131 			 SQBO 			 ---- 			 statements 			 No
optional 			 ---- 			 131 			 SQBO 			 ---- 			 moduleReuseStmt 			 No
idList 			 ---- 			 131 			 SQBO 			 ---- 			 optional 			 No
ID 			 v1 			 131 			 ID 			 ---- 			 idList 			 Yes
ID 			 a 			 131 			 ID 			 ---- 			 idList 			 Yes
ID 			 k 			 131 			 ID 			 ---- 			 idList 			 Yes
ID 			 h 			 131 			 ID 			 ---- 			 idList 			 Yes
ID 			 function1 			 131 			 ID 			 ---- 			 moduleReuseStmt 			 Yes
idList 			 ---- 			 131 			 SQBO 			 ---- 			 moduleReuseStmt 			 No
ID 			 b7 			 131 			 ID 			 ---- 			 idList 			 Yes
ID 			 v2 			 131 			 ID 			 ---- 			 idList 			 Yes
ID 			 p 			 131 			 ID 			 ---- 			 idList 			 Yes
ID 			 b7 			 131 			 ID 			 ---- 			 idList 			 Yes
ID 			 b 			 131 			 ID 			 ---- 			 idList 			 Yes
ioStmt 			 ---- 			 132 			 PRINT 			 ---- 			 statements 			 No
---- 			 PRINT 			 132 			 PRINT 			 ---- 			 ioStmt 			 Yes
var 			 ---- 			 132 			 PRINT 			 ---- 			 ioStmt 			 No
var_id_num 			 ---- 			 132 			 ID 			 ---- 			 var 			 No
ID 			 k 			 132 			 ID 			 ---- 			 var_id_num 			 Yes
module 			 ---- 			 135 			 DEF 			 ---- 			 otherModules 			 No
ID 			 function2 			 135 			 ID 			 ---- 			 module 			 Yes
input_plist 			 ---- 			 135 			 DEF 			 ---- 			 module 			 No
ID 			 x 			 136 			 ID 			 ---- 			 input_plist 			 Yes
dataType 			 ---- 			 136 			 ID 			 ---- 			 input_plist 			 No
---- 			 INTEGER 			 136 			 INTEGER 			 ---- 			 dataType 			 Yes
ID 			 y 			 136 			 ID 			 ---- 			 input_plist 			 Yes
dataType 			 ---- 			 136 			 COMMA 			 ---- 			 input_plist 			 No
---- 			 INTEGER 			 136 			 INTEGER 			 ---- 			 dataType 			 Yes
moduleDef 			 ---- 			 135 			 DEF 			 ---- 			 module 			 No
statements 			 ---- 			 137 			 START 			 ---- 			 moduleDef 			 No
declareStmt 			 ---- 			 138 			 DECLARE 			 ---- 			 statements 			 No
idList 			 ---- 			 138 			 DECLARE 			 ---- 			 declareStmt 			 No
ID 			 temp 			 138 			 ID 			 ---- 			 idList 			 Yes
dataType 			 ---- 			 138 			 DECLARE 			 ---- 			 declareStmt 			 No
---- 			 INTEGER 			 138 			 INTEGER 			 ---- 			 dataType 			 Yes
moduleReuseStmt 			 ---- 			 139 			 USE 			 ---- 			 statements 			 No
ID 			 function2 			 139 			 ID 			 ---- 			 moduleReuseStmt 			 Yes
idList 			 ---- 			 139 			 USE 			 ---- 			 moduleReuseStmt 			 No
ID 			 x 			 139 			 ID 			 ---- 			 idList 			 Yes
ID 			 y 			 139 			 ID 			 ---- 			 idList 			 Yes
assignmentStmt 			 ---- 			 140 			 ID 			 ---- 			 statements 			 No
ID 			 temp 			 140 			 ID 			 ---- 			 assignmentStmt 			 Yes
lvalueIDStmt 			 ---- 			 140 			 ASSIGNOP 			 ---- 			 assignmentStmt 			 No
expression 			 ---- 			 140 			 ASSIGNOP 			 ---- 			 lvalueIDStmt 			 No
