

*************************************************************************************** 


AST: 

NodeSymbol			Lexeme			Line No			Node Token			ValueIfNumber			Parent			isleaf
index 			 ---- 			 35 			 NUM 			 4 			 range_arrays 			 No
---- 			 NUM 			 35 			 NUM 			 10 			 index 			 Yes
---- 			 INTEGER 			 35 			 INTEGER 			 ---- 			 dataType 			 Yes
assignmentStmt 			 ---- 			 36 			 ID 			 ---- 			 statements 			 No
ID 			 B 			 36 			 ID 			 ---- 			 assignmentStmt 			 Yes
lvalueARRStmt 			 ---- 			 36 			 SQBO 			 ---- 			 assignmentStmt 			 No
index 			 ---- 			 36 			 SQBO 			 ---- 			 lvalueARRStmt 			 No
---- 			 NUM 			 36 			 NUM 			 12 			 index 			 Yes
expression 			 ---- 			 36 			 SQBO 			 ---- 			 lvalueARRStmt 			 No
---- 			 MUL 			 36 			 MUL 			 ---- 			 expression 			 No
var_id_num 			 ---- 			 36 			 ID 			 ---- 			 MUL 			 No
ID 			 k 			 36 			 ID 			 ---- 			 var_id_num 			 Yes
var_id_num 			 ---- 			 36 			 NUM 			 20 			 MUL 			 No
---- 			 NUM 			 36 			 NUM 			 20 			 var_id_num 			 Yes
---- 			 BREAK 			 32 			 CASE 			 ---- 			 caseStmts 			 Yes
---- 			 CASE 			 38 			 CASE 			 ---- 			 caseStmts 			 Yes
value 			 ---- 			 38 			 CASE 			 ---- 			 caseStmts 			 No
---- 			 NUM 			 38 			 NUM 			 20 			 value 			 Yes
statements 			 ---- 			 38 			 CASE 			 ---- 			 caseStmts 			 No
assignmentStmt 			 ---- 			 38 			 ID 			 ---- 			 statements 			 No
ID 			 A 			 38 			 ID 			 ---- 			 assignmentStmt 			 Yes
lvalueIDStmt 			 ---- 			 38 			 ASSIGNOP 			 ---- 			 assignmentStmt 			 No
expression 			 ---- 			 38 			 ASSIGNOP 			 ---- 			 lvalueIDStmt 			 No
---- 			 PLUS 			 38 			 PLUS 			 ---- 			 expression 			 No
var_id_num 			 ---- 			 38 			 RNUM 			 12.90 			 PLUS 			 No
---- 			 RNUM 			 38 			 RNUM 			 12.90 			 var_id_num 			 Yes
var_id_num 			 ---- 			 38 			 ID 			 ---- 			 PLUS 			 No
ID 			 p 			 38 			 ID 			 ---- 			 var_id_num 			 Yes
ioStmt 			 ---- 			 39 			 GET_VALUE 			 ---- 			 statements 			 No
---- 			 GET_VALUE 			 39 			 GET_VALUE 			 ---- 			 ioStmt 			 Yes
ID 			 Q 			 39 			 ID 			 ---- 			 ioStmt 			 Yes
iterativeStmt 			 ---- 			 40 			 FOR 			 ---- 			 statements 			 No
---- 			 FOR 			 40 			 FOR 			 ---- 			 iterativeStmt 			 Yes
ID 			 m 			 40 			 ID 			 ---- 			 iterativeStmt 			 Yes
range 			 ---- 			 40 			 FOR 			 ---- 			 iterativeStmt 			 No
---- 			 NUM 			 40 			 NUM 			 10 			 range 			 Yes
---- 			 NUM 			 40 			 NUM 			 10 			 range 			 Yes
statements 			 ---- 			 40 			 FOR 			 ---- 			 iterativeStmt 			 No
assignmentStmt 			 ---- 			 42 			 ID 			 ---- 			 statements 			 No
ID 			 n 			 42 			 ID 			 ---- 			 assignmentStmt 			 Yes
lvalueIDStmt 			 ---- 			 42 			 ASSIGNOP 			 ---- 			 assignmentStmt 			 No
expression 			 ---- 			 42 			 ASSIGNOP 			 ---- 			 lvalueIDStmt 			 No
---- 			 PLUS 			 42 			 PLUS 			 ---- 			 expression 			 No
var_id_num 			 ---- 			 42 			 ID 			 ---- 			 PLUS 			 No
ID 			 n 			 42 			 ID 			 ---- 			 var_id_num 			 Yes
var_id_num 			 ---- 			 42 			 ID 			 ---- 			 PLUS 			 No
